Category: All categories

Week,discraft: (United States),paul mcbeth: (United States),paige pierce: (United States),paul ulibarri: (United States)
2019-12-01,34,7,6,2
2019-12-08,39,10,2,0
2019-12-15,26,2,6,0
2019-12-22,40,9,0,0
2019-12-29,20,8,8,0
2020-01-05,40,10,4,0
2020-01-12,22,9,4,2
2020-01-19,36,6,11,0
2020-01-26,33,13,6,0
2020-02-02,28,17,7,0
2020-02-09,54,19,7,0
2020-02-16,48,18,4,0
2020-02-23,45,34,7,4
2020-03-01,48,9,5,2
2020-03-08,43,16,0,0
2020-03-15,59,7,2,0
2020-03-22,50,12,9,2
2020-03-29,47,12,7,2
2020-04-05,32,10,2,0
2020-04-12,47,13,2,0
2020-04-19,51,13,8,2
2020-04-26,64,8,7,2
2020-05-03,54,16,11,2
2020-05-10,59,25,7,0
2020-05-17,57,10,8,0
2020-05-24,58,17,9,2
2020-05-31,59,19,3,0
2020-06-07,77,10,7,2
2020-06-14,84,23,0,0
2020-06-21,92,32,4,2
2020-06-28,97,22,9,4
2020-07-05,86,27,15,2
2020-07-12,75,42,9,0
2020-07-19,50,15,4,0
2020-07-26,93,33,4,4
2020-08-02,88,33,6,2
2020-08-09,85,28,7,0
2020-08-16,68,18,13,2
2020-08-23,54,17,5,5
2020-08-30,66,12,5,0
2020-09-06,68,26,7,3
2020-09-13,52,22,15,7
2020-09-20,58,12,5,2
2020-09-27,72,24,11,4
2020-10-04,74,30,13,6
2020-10-11,82,18,10,0
2020-10-18,64,12,6,2
2020-10-25,60,12,4,2
2020-11-01,48,12,5,2
2020-11-08,51,24,14,0
2020-11-15,62,8,8,2
2020-11-22,100,17,25,4
2020-11-29,75,24,6,0
2020-12-06,90,16,2,2
2020-12-13,63,4,4,6
2020-12-20,54,9,6,2
2020-12-27,46,30,0,0
